"-40_ura3_A" "-20_ura3_A" "0_ura3_A" "10_ura3_A" "20_ura3_A" "40_ura3_A" "60_ura3_A" "80_ura3_A"
"VNG0151C" 0.130054444074631 0.240981385111809 0.199833437800407 0.715468406677246 1.22335612773895 2.49519896507263 2.40750384330750 1.77932286262512
"VNG0764C" -0.0628545880317688 -0.140472456812859 -0.154600486159325 0.148198679089546 2.23531818389893 1.58848571777344 1.54368102550507 1.47663462162018
"VNG0150H" 0.478707253932953 0.432299703359604 0.30207496881485 0.764657497406006 1.34685420989990 2.16804361343384 2.17802524566650 1.76534473896027
"VNG0508H" 0.465727627277374 0.204882532358170 0.275943785905838 0.85463398694992 1.17335557937622 1.77920353412628 1.88973140716553 1.49087488651276
"VNG0704C" 0.0528498068451881 -0.00878727529197931 0.167321756482124 1.7565096616745 3.73576736450195 2.94872546195984 1.28711795806885 0.318152725696564
"VNG0733H" 0.305246621370316 0.290679842233658 0.434475570917130 2.50059700012207 3.41917467117310 2.75094890594482 2.03982591629028 1.73731529712677
"VNG6254C" 0.295570075511932 0.357771098613739 0.616512835025787 0.431533455848694 1.56347012519836 1.74470472335815 1.66024589538574 1.99632334709167
"VNG0509H" -0.0187935158610344 0.0599447786808014 0.287026971578598 0.268514186143875 0.533255100250244 1.02140617370605 0.904949367046356 1.01491117477417
"VNG0931G" -0.0774645209312439 0.037156131118536 0.0501653365790844 0.203172475099564 0.191447988152504 0.860667586326599 1.41950166225433 1.49059903621674
"VNG2429G" 0.0895086154341698 0.00240593124181032 -0.0108942091464996 0.5924112200737 0.508605420589447 0.638724267482758 1.16254448890686 0.956216990947723
"VNG2442H" 0.374604046344757 0.193548500537872 -0.0181526038795710 0.304323852062225 0.76637077331543 1.06790721416473 0.911680579185486 0.478762179613113
"VNG2496G" 0.0191036388278008 0.109114751219749 0.115339457988739 0.0847787261009216 0.609171509742737 0.899466872215271 1.01955127716064 1.18093001842499
"VNG2535H" 0.394560307264328 0.413403123617172 0.613684475421906 0.461385309696198 0.485837310552597 0.47131210565567 1.1699857711792 1.39714908599854
"VNG6329H" 0.346538364887238 0.398217022418976 0.173922613263130 0.217604190111160 0.354564964771271 1.00433433055878 1.31811213493347 0.893266379833221
"VNG6335H" 0.184404850006104 0.204822957515717 -0.00417225807905197 0.201722905039787 0.482676595449448 1.48399043083191 1.08014047145844 0.617071628570557
"VNG0740C" 0.0654341951012611 0.0265910997986794 0.145242586731911 0.313875734806061 1.04795598983765 0.800948917865753 0.78255558013916 0.793486833572388
"VNG0852C" 0.0584473833441734 0.0447252430021763 0.142439022660255 0.135848045349121 0.0892226248979568 1.39916086196899 1.77627825737000 0.960093677043915
"VNG1042H" 0.169914707541466 0.651956856250763 0.239020854234695 -0.0279877949506044 0.513441622257233 0.836648881435394 1.41771006584167 1.31265342235565
"VNG1547C" 0.206492274999619 0.117461442947388 0.122334331274033 -0.0188958309590816 0.532354116439819 1.10818982124329 1.27609848976135 1.07290375232697
"VNG2247G" 0.567016065120697 0.485626131296158 0.499849915504456 0.360970616340637 0.627010583877563 0.895045280456543 1.22752249240875 0.959288597106934
"VNG2333C" 0.125500693917274 0.0680817067623138 0.0214124135673046 0.824963629245758 0.653043150901794 0.701709866523743 1.26162481307983 0.881000280380249
"VNG2422G" 0.242094561457634 0.278076857328415 0.387878060340881 0.746892154216766 1.02301812171936 0.372238010168076 1.07677912712097 1.16790807247162
"VNG6203H" -0.0094942133873701 0.626204252243042 0.502593696117401 -0.565950214862823 0.874600350856781 1.00283312797546 1.15327441692352 1.26983368396759
"VNG0594H" 0.437035471200943 0.593036592006683 0.613748729228973 0.503592312335968 0.862770974636078 0.58968985080719 0.983272433280945 1.09004652500153
"VNG0813G" 0.0456931851804256 0.253220558166504 0.224345341324806 0.407147139310837 0.104321412742138 1.24584937095642 1.75100922584534 1.24126839637756
"VNG1300H" 0.657819509506226 0.307061523199081 0.230912461876869 -0.0547807887196541 0.0420779027044773 1.23511803150177 2.07848644256592 1.53446924686432
"VNG1471C" -0.177510350942612 -0.028693376109004 -0.0782475918531418 0.278854846954346 0.638915777206421 1.49848401546478 1.20002985000610 0.840227603912354
"VNG1668G" 0.517357170581818 0.578480124473572 0.222973018884659 0.822344124317169 0.964169323444366 0.702465951442719 1.24373614788055 0.534502863883972
"VNG1837G" 0.434509485960007 0.40334951877594 0.144321650266647 0.0225986614823341 0.891649425029755 1.04566633701324 1.10135233402252 0.99348497390747
"VNG1920H" 0.0132904006168246 0.168594419956207 0.245461210608482 0.481623440980911 0.908347368240356 1.03251910209656 1.00399816036224 1.10363459587097
"VNG1941C" -0.161045819520950 0.072308599948883 0.132312878966331 1.02386426925659 1.07155823707581 0.804868340492249 0.965513050556183 0.99023449420929
"VNG6224H" 0.374584376811981 0.258970290422440 0.431213706731796 0.351519256830215 1.3429274559021 1.31577146053314 0.688911080360413 0.612949192523956
"VNG1997G" 0.113669358193874 0.235171988606453 0.0885512232780457 -0.0886044576764107 0.855742454528809 1.23672294616699 1.49294734001160 1.63136863708496
"VNG2534C" 0.63172721862793 0.377406865358353 0.286203861236572 0.966857135295868 0.769862234592438 0.447332382202148 1.93177342414856 1.75360870361328
"VNG5102H" 0.291113823652267 0.505968511104584 0.766668558120728 0.561256945133209 1.09409761428833 0.860625326633453 1.22095310688019 1.33872234821320
"VNG6312G" 0.344009846448898 0.701879918575287 0.365888684988022 0.694473445415497 1.43608427047729 1.05859327316284 1.09295773506165 1.06061530113220
"VNG1866G" 0.0500718727707863 0.0299623887985945 0.0675960779190063 0.280798345804214 0.660729467868805 1.15134787559509 1.73866093158722 1.81613481044769
"VNG0762H" 0.265918165445328 0.459991693496704 0.537302613258362 0.254163563251495 1.61800253391266 1.00920617580414 1.37470400333405 1.25629615783691
"VNG2108G" 0.00621441472321749 0.208489909768105 0.265269368886948 -0.757974207401276 0.619544744491577 1.44584703445435 2.06410121917725 2.52339243888855
"VNG1053G" 0.131695047020912 0.111274532973766 0.121428787708282 0.165304541587830 0.180799335241318 1.66581904888153 2.36497950553894 2.36856389045715
"VNG1407C" 0.0322851687669754 0.133648380637169 0.0429302342236042 0.268976986408234 0.44480898976326 -0.208783611655235 -0.279267460107803 -0.289246737957001
"VNG2279H" 0.0809614881873131 0.0294959656894207 -0.043525293469429 0.398803055286407 0.363656640052795 -0.135887786746025 -0.317595630884171 -0.3918636739254
"VNG0339H" 0.120412565767765 0.140742108225822 0.248337298631668 0.388530641794205 0.27249413728714 -0.403001844882965 -0.258676350116730 -0.271747231483459
"VNG0873G" -0.0472413897514343 -0.0183421894907951 0.0179603975266218 0.501573085784912 0.285837948322296 -0.121230691671371 -0.259395688772202 -0.507442772388458
"VNG1306G" 0.322009414434433 0.480863451957703 0.478192090988159 0.452391654253006 0.363881945610046 -0.298630595207214 -0.234562546014786 -0.130922079086304
"VNG2395C" 0.233562201261520 0.312654674053192 0.226374566555023 0.215842321515083 0.57326203584671 -0.309714853763580 -0.206191569566727 -0.347027629613876
"VNG0050C" 0.173630475997925 0.0608595833182335 0.0853229090571404 0.339388072490692 0.497786402702332 -0.0765218287706375 -0.40778774023056 -0.47639387845993
"VNG0124C" -0.0371851734817028 0.311752289533615 0.255410701036453 0.288202434778214 0.600961565971375 -0.609211623668671 0.0848025679588318 -0.182798489928246
"VNG2172C" 0.307291060686111 0.250241816043854 0.156158328056335 0.488036155700684 0.642450392246246 -0.378827691078186 -0.112882532179356 -0.234200343489647
"VNG2403H" -0.00442316010594368 0.040244460105896 0.175829812884331 0.318339169025421 0.48733589053154 -0.567306280136108 -0.118346318602562 -0.462066441774368
"VNG0942G" 0.0727522298693657 0.0322394706308842 0.180205777287483 0.500787377357483 0.718969464302063 -0.0276158936321735 -0.0867657735943794 -0.148546621203423
"VNG1118G" 0.0446133278310299 0.086835965514183 0.205654069781303 0.139358550310135 0.744607031345367 -0.277063012123108 -0.170985460281372 -0.542564511299133
"VNG1385G" 0.461278825998306 0.257785409688950 0.389077514410019 0.723409116268158 0.484107285737991 -0.201949834823608 -0.16022852063179 -0.265648514032364
"VNG2376H" 0.276464879512787 0.306776881217957 0.61439323425293 0.446981161832809 0.502366065979004 -0.198361858725548 0.00399672333151102 0.194986313581467
"VNG2402H" 0.193842709064484 0.0869124084711075 0.182887017726898 0.718664765357971 0.539560675621033 -0.404677778482437 -0.0896387249231339 -0.330935388803482
"VNG0675C" 0.214091911911964 0.148175537586212 0.14165860414505 0.805493175983429 0.461145281791687 0.199438616633415 0.0921479165554047 -0.305130571126938
"VNG0777G" 0.119471661746502 0.202854335308075 0.449706614017487 0.753473103046417 0.632400751113892 -0.347983986139297 0.134994521737099 -0.0910210087895393
"VNG0778C" 0.287012666463852 0.339527159929276 0.356751292943954 0.923951387405396 0.705600321292877 -0.331986576318741 0.0809689909219742 -0.091135524213314
"VNG2404G" 0.143095880746841 -0.0228202547878027 -0.0663882866501808 0.855275750160217 0.675923049449921 -0.315600544214249 -0.308085501194 -0.454940587282181
"VNG2582H" -0.11911953240633 0.13861183822155 0.39944189786911 0.708847939968109 0.864817976951599 -0.142502650618553 0.19462488591671 -0.263400584459305
"VNG6334H" 1.34725058078766 1.28587770462036 0.961707770824432 0.821450769901276 0.379512786865234 -0.0389728099107742 -0.144999459385872 -0.317865639925003
"VNG0863H" 0.320055902004242 0.541334211826324 0.203875169157982 0.57471513748169 0.196520820260048 -0.50853431224823 -0.421935856342316 -0.439048588275909
"VNG2321G" 0.259838402271271 0.137810200452805 0.0743663012981415 1.16850352287292 0.93480634689331 -0.0115824863314629 -0.0921142995357513 -0.304840296506882
"VNG6298C" 0.684284090995789 0.664722383022308 0.183712750673294 0.484260410070419 0.182627528905869 -0.438659429550171 -0.415456414222717 -0.511845409870148
"VNG0226G" 0.0624821446835995 0.0938853025436401 0.445012181997299 0.157648861408234 0.689712405204773 -0.66337376832962 -0.429695993661880 -0.475172460079193
"VNG2533G" 0.068859301507473 0.145502239465714 0.410254210233688 0.788499534130096 1.12809896469116 -0.0614221915602684 -0.0789074376225471 -0.42180261015892
