20	43.7	155.2	69.1	20	44.7
44	68.8	95.4	113.3	31.3	91
476	567.8	877.7	954.4	1068	1108.4
103.7	86.1	117.9	120	117.9	123.2
124	92.4	180	337.2	150.1	208.8
67	93.1	106	129.8	117.9	137.8
40.3	50.5	89.3	66.4	107.1	113.8
105.7	100.9	112.8	154.1	101.1	146.3
20	33.3	55.5	65.1	34.1	35.8
97	62.1	60.3	113.3	93.9	164.1
76.5	24.5	70	59.3	45.2	58.7
626.8	84.1	545.4	629.6	392.5	816.6
421.7	325.8	379.9	316.3	213.2	319.7
20	20	20	20	20	20
520.2	418	734.6	805.2	609.4	670.2
1089.8	1825.6	2293.7	1508.8	949.8	830.5
447.8	560.9	509.9	630.4	562.2	514
272	377.8	471.9	576.8	322.2	323.4
276	358.4	392	309.1	220	201.3
493	661.9	752.1	722.6	555.4	400
219	340.8	290	296.9	196.1	132.5
133.4	151.4	324.4	209.9	226	329.1
3145.8	3235.5	3287	3294.7	3108	3140.8
1805	602.3	884	916.5	1040.8	1572.3
153.2	44.7	29.5	30.3	79.7	116.6
158	237.9	295.6	267.5	216.7	306
283	651.4	275.4	307.3	472.3	525
2150.8	2813.8	3987.5	1544.1	984.7	883.5
54.2	20	59.8	81.2	27.4	50.3
55	133.8	187.8	167.3	181.4	182
1590.8	1770.7	1857.9	1611.8	1273.6	1025.2
6156.5	3735.2	5394.2	5284.7	4374.5	4334.8
300	388.9	576	624.3	625.1	513.6
407	629.2	966.2	787.1	603	438
372.6	326.4	573.6	356	392.5	455
834.5	988.7	1439.7	1200.4	787.1	676.8
580.8	1989.9	2418.8	1704.3	1603.2	1153.7
49.5	467.8	1039.7	449.5	286.4	157.6
531.2	679.7	794.6	600.4	398.5	532.2
1719.4	2476.2	2072.2	1798.9	2565.3	1667.5
90.6	43.7	390.3	236.4	160.6	154.4
558.5	526.6	764.9	894	684.9	331.9
939.5	472.7	784.9	803.9	807.7	637.5
532	615.1	764.8	769.5	390.4	466.4
10663.8	7103.2	16550.7	11165.1	14309.5	11238
244.2	188.4	286.8	273.6	339	390
866.4	1402.5	1814.9	1818.6	1438.8	1170.9
1830.2	1085	1207.3	1557.3	2177.6	1351.8
411	258.8	264.7	209	206.2	277.9
6148	2653.6	4851.7	5577.1	4980.9	4263.8
78.2	93.1	55	83.5	109.8	93.1
367	856.9	592.6	714.1	465.9	546.1
20	116.1	100.2	105.5	58	90.2
32.7	43.7	42.3	21.3	130.8	44.7
213.3	225.3	215	195.5	297.2	123.4
220.2	186.2	305.1	335.2	286.4	267.6
508	499.7	559.9	358	678.5	487.7
68	368.9	293.9	223.9	270.7	258.4
533.7	383.6	277.4	340	118.9	300.7
379.4	387	295	421.7	432.9	360.2
1651	1579.3	1653.2	1647.7	813	1921
34	93.9	93.4	72.9	35.9	27.6
66.8	90.6	117.5	85.7	213.2	68.8
86.3	58.8	72.5	171.3	161.5	105.2
20	20	20	20	20	20
406.9	1154.4	1030.9	726.9	661.7	609.3
242	366.7	407.7	469.4	290.9	217
496	477.6	539.1	528	480.6	475.4
226.6	212	253.9	342.7	261.7	483.5
2089.5	615.8	1307.1	1463.7	1379.8	1166.1
20	1444.4	362.5	86.8	55.6	62.3
31.9	271.4	319.5	210.3	147.8	204
3811.4	5168.4	3004.5	2627.2	1582	1946.1
261.8	5471.2	1786.7	626.9	582.8	881.6
93.1	53.8	37.6	77	124.9	121.9
82	133.1	162.5	147.8	70	133.3
201.4	97.6	230.4	140.8	208.2	296.6
76.5	193.5	112.5	125.2	213.2	89
314.7	111	427.9	512.7	434.2	312.8
448.1	356.7	376.2	544.6	309.3	312.8
261	218.9	449.6	458.3	355.4	371.4
513.6	296.1	620.7	441	434.2	353.5
579	387	592.4	371.9	529.3	650.1
122.1	83.3	85	107.6	245.5	157.9
872.8	910	1216.6	1259	906.6	736.4
20	20	141.1	20	20	20
20	20	20	20	20	20
500	617.4	792.1	978.4	1016.4	1074.3
589.1	235.5	385.6	374.6	386.6	402.2
44	71	52.5	70.3	58.2	26.3
574.4	687.5	984.7	952	773.8	631.8
37	96.1	95.4	101.6	121.5	187.7
57	565.8	412.4	393.2	336	342
420.4	440.8	987.4	619	915.9	702.9
1183.7	1109.5	1062.3	1172.9	3075.7	1357.9
55.4	111	239.8	143.4	202.2	93.4
1656	2712.7	1396.3	1574.1	1009.1	1659.4
103	124.2	123.6	140.6	65.4	125.1
